,CANT,DESCR,PRECIO_UNITARIO,COSTO_TOTAL_CALCULADO
201,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
202,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,253.0
203,1,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",206.9,98.63
204,36,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,9156.17
205,2,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,75.32
206,2,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,89.08
207,2,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,96.18
208,2,"BAN P INOX 1 1/2""X18"" 240V W-MAX",839.43,102.18
209,2,"BAN INOX 12""ØX 1 1/2"" 1250W 240V C/ALLEN",901.12,282.98
210,2,"BAN INOX 14""ØX 1 1/2"" 1500W240V C/ALLEN",992.0,402.41
211,2,"BAN INOX 16""ØX1 1/2"" 1750W 240V C/ALLEN",1109.22,377.7
212,2,"BAN INOX 20""ØX 11/2"" 2300W 240C C/ALLEN",1112.0,594.4
213,7,"BAN P INOX 7""X1 1/2"" 900W 240V T/TOR",725.1,211.19
214,2,"TER J 1/4""X1/2"" EXT1MT TORNILLO LOCO",387.45,109.64
215,2,"TUB INOX 5/16""Øx197CM 2500W 220V ""M"" ESP",1674.0,374.62
216,2,"RC 5/8""ØX748MM 1100W220V T/TORNILLO",960.0,732.84
217,2,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",689.92,225.59
218,2,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",689.92,225.59
219,1,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,227.18
220,3,CBS INOX 27MMØX180CM 1000W 440V CAJA ESP,3200.0,1281.35
221,6,"TUB INCOL 5/16""ØX355MM 9000W240V J T/BOI",3105.0,2214.39
222,10,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,1019.92
223,2,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,2409.43
224,1,"CAS INOX 1/2""X5"" 250W 240V EXT30CM",650.32,74.08
225,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
226,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
227,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
228,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
229,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
230,2,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",598.0,676.56
231,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,445.0,320.27
232,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,303.45,213.1
233,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,369.25,274.96
234,5,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,595.24
235,4,CART INOX 11.43mmØx450mm 300W 48V CABLE,681.75,500.47
236,10,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,1276.19
237,8,CARTUCHO ESC.Ø 8MM X 325 MM 500W 220V,488.0,962.29
238,7,CARTUCHO Ø8MM X 260MM 500W 220V,543.0,795.85
239,8,CARTUCHO Ø 8 MM X 500 MM 500 W 220 V,509.0,1288.78
240,3,CARTUCHO Ø 10 MM X 460 MM 500W 220V,1365.0,395.14
241,4,"PT-100 1/4""ØX4"" CON1/2""-1/2"" NPT C/MARIN",1015.0,1839.19
242,4,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.32,355.8
243,1,"TUB INOX 1/4""ØX135MM 700W127V ESPIRAL 4V",1125.0,7342.41
